,Team,Conference,Current coach,Since,
,Abilene Christian Wildcats,,Southland Conference,,Joe Golding,,2011–12,
,Air Force Falcons,,Mountain West Conference,,Dave Pilipovich,,2012–13,
,Akron Zips,,Mid-American Conference,,John Groce,,2017–18,
,Alabama Crimson Tide,,Southeastern Conference,,Avery Johnson,,2015–16,
,Alabama A&M Bulldogs,,Southwestern Athletic Conference,,Dylan Howard,,2018–19,
,Alabama State Hornets,,Southwestern Athletic Conference,,Lewis Jackson,,2005–06,
,Albany Great Danes,,America East Conference,,Will Brown,,2001–02,
,Alcorn State Braves,,Southwestern Athletic Conference,,Montez Robinson,,2015–16,
,American Eagles,,Patriot League,,Mike Brennan,,2013–14,
,Appalachian State Mountaineers,,Sun Belt Conference,,Jim Fox,,2014–15,
,Arizona Wildcats,,Pac-12 Conference,,Sean Miller,,2009–10,
,Arizona State Sun Devils,,Pac-12 Conference,,Bobby Hurley,,2015–16,
,Arkansas Razorbacks,,Southeastern Conference,,Mike Anderson,,2011–12[a],
,Arkansas–Pine Bluff Golden Lions,,Southwestern Athletic Conference,,George Ivory,,2008–09,
,Arkansas State Red Wolves,,Sun Belt Conference,,Mike Balado,,2017–18,
,Army Black Knights,,Patriot League,,Jimmy Allen,,2016–17,
,Auburn Tigers,,Southeastern Conference,,Bruce Pearl,,2014–15,
,Austin Peay Governors,,Ohio Valley Conference,,Matt Figger,,2017–18,
,Ball State Cardinals,,Mid-American Conference,,James Whitford,,2013–14,
,Baylor Bears,,Big 12 Conference,,Scott Drew,,2003–04,
,Belmont Bruins,,Ohio Valley Conference,,Rick Byrd,,1996–97,
,Bethune-Cookman Wildcats,,Mid-Eastern Athletic Conference,,Ryan Ridder,,2017–18,
,Binghamton Bearcats,,America East Conference,,Tommy Dempsey,,2012–13,
,Boise State Broncos,,Mountain West Conference,,Leon Rice,,2010–11,
,Boston College Eagles,,Atlantic Coast Conference,,Jim Christian,,2014–15,
,Boston University Terriers,,Patriot League,,Joe Jones,,2011–12,
,Bowling Green Falcons,,Mid-American Conference,,Michael Huger,,2015–16,
,Bradley Braves,,Missouri Valley Conference,,Brian Wardle,,2015–16,
,Brown Bears,,Ivy League,,Mike Martin,,2012–13,
,Bryant Bulldogs,,Northeast Conference,,Jared Grasso,,2018–19,
,Bucknell Bison,,Patriot League,,Nathan Davis,,2015–16,
,Buffalo Bulls,,Mid-American Conference,,Nate Oats,,2015–16,
,Butler Bulldogs,,Big East Conference,,LaVall Jordan,,2017–18,
,BYU Cougars,,West Coast Conference,,Dave Rose,,2005–06,
,Cal Poly Mustangs,,Big West Conference,,Joe Callero,,2009–10,
,Cal State Bakersfield Roadrunners,,Western Athletic Conference,,Rod Barnes,,2011–12,
,Cal State Fullerton Titans,,Big West Conference,,Dedrique Taylor,,2013–14,
,Cal State Northridge Matadors,,Big West Conference,,Mark Gottfried,,2018–19,
,California Golden Bears,,Pac-12 Conference,,Wyking Jones,,2017–18,
,California Baptist Lancers,,Western Athletic Conference,,Rick Croy,,2013–14,
,Campbell Fighting Camels,,Big South Conference,,Kevin McGeehan,,2013–14,
,Canisius Golden Griffins,,Metro Atlantic Athletic Conference,,Reggie Witherspoon,,2016–17,
,Central Arkansas Bears,,Southland Conference,,Russ Pennell,,2014–15,
,Central Connecticut Blue Devils,,Northeast Conference,,Donyell Marshall,,2016–17,
,Central Michigan Chippewas,,Mid-American Conference,,Keno Davis,,2012–13,
,Charleston Cougars,,Colonial Athletic Association,,Earl Grant,,2014–15,
,Charleston Southern Buccaneers,,Big South Conference,,Barclay Radebaugh,,2005–06,
,Charlotte 49ers,,Conference USA,,Ron Sanchez,,2018–19,
,Chattanooga Mocs,,Southern Conference,,Lamont Paris,,2017–18,
